                    env a4_actorprior0 a4_actorprior0.001 a4_actorprior0.01 a4_actorprior0.1 a4_actorprior1.0
        acrobot_swingup    0.897±0.008        0.899±0.007       0.898±0.007      0.901±0.007      0.899±0.008
 acrobot_swingup_sparse    0.996±0.001        0.996±0.001       0.996±0.001      0.996±0.001      0.997±0.001
      ball_in_cup_catch    0.076±0.004        0.078±0.004       0.078±0.004      0.081±0.004      0.080±0.003
       cartpole_balance    0.024±0.000        0.024±0.001       0.024±0.000      0.024±0.000      0.024±0.000
cartpole_balance_sparse    0.023±0.001        0.023±0.001       0.023±0.001      0.025±0.001      0.023±0.001
       cartpole_swingup    0.154±0.002        0.154±0.002       0.155±0.002      0.155±0.002      0.155±0.002
cartpole_swingup_sparse    0.270±0.007        0.277±0.006       0.273±0.007      0.276±0.006      0.275±0.005
            cheetah_run    0.551±0.005        0.544±0.004       0.540±0.006      0.533±0.006      0.545±0.005
            finger_spin    0.716±0.012        0.706±0.009       0.716±0.009      0.721±0.009      0.713±0.010
       finger_turn_easy    0.349±0.041        0.363±0.041       0.344±0.036      0.329±0.029      0.360±0.036
       finger_turn_hard    0.512±0.051        0.525±0.051       0.503±0.046      0.503±0.050      0.513±0.052
              fish_swim    0.323±0.007        0.328±0.008       0.321±0.007      0.320±0.008      0.321±0.008
           fish_upright    0.258±0.018        0.256±0.013       0.263±0.015      0.262±0.016      0.255±0.011
             hopper_hop    0.961±0.007        0.960±0.007       0.960±0.007      0.962±0.007      0.956±0.007
           hopper_stand    0.566±0.047        0.599±0.048       0.597±0.042      0.551±0.039      0.569±0.051
           humanoid_run    0.999±0.000        0.999±0.000       0.999±0.000      0.999±0.000      0.999±0.000
         humanoid_stand    0.992±0.002        0.993±0.000       0.993±0.000      0.993±0.000      0.993±0.000
          humanoid_walk    0.998±0.000        0.998±0.000       0.998±0.000      0.998±0.000      0.998±0.000
 manipulator_bring_ball    1.000±0.000        1.000±0.000       1.000±0.000      1.000±0.000      1.000±0.000
       pendulum_swingup    0.488±0.061        0.549±0.077       0.512±0.070      0.465±0.059      0.497±0.063
        point_mass_easy    0.198±0.006        0.194±0.005       0.196±0.006      0.196±0.005      0.195±0.005
           reacher_easy    0.092±0.010        0.088±0.006       0.085±0.005      0.098±0.012      0.093±0.010
           reacher_hard    0.380±0.047        0.427±0.053       0.377±0.051      0.374±0.053      0.381±0.048
      swimmer_swimmer15    0.514±0.007        0.521±0.009       0.519±0.009      0.522±0.007      0.522±0.008
       swimmer_swimmer6    0.462±0.004        0.464±0.006       0.460±0.005      0.456±0.004      0.462±0.005
             walker_run    0.775±0.004        0.776±0.004       0.776±0.005      0.773±0.004      0.776±0.004
           walker_stand    0.123±0.006        0.116±0.004       0.115±0.005      0.119±0.005      0.119±0.005
            walker_walk    0.452±0.014        0.456±0.013       0.452±0.013      0.477±0.016      0.447±0.013
                Average    0.350±0.004        0.354±0.004       0.349±0.003      0.351±0.004      0.351±0.004
