                    env   a4_prior0 a4_prior0.001 a4_prior0.01 a4_prior0.1 a4_prior1.0
                Rotator           -             -            -           -           -
        acrobot_swingup 0.826±0.004   0.823±0.005  0.823±0.005 0.824±0.005 0.836±0.005
 acrobot_swingup_sparse 0.991±0.001   0.990±0.001  0.989±0.001 0.992±0.001 0.998±0.000
      ball_in_cup_catch 0.033±0.001   0.033±0.001  0.033±0.002 0.033±0.001 0.032±0.001
       cartpole_balance 0.019±0.000   0.018±0.000  0.018±0.000 0.018±0.000 0.020±0.000
cartpole_balance_sparse 0.020±0.001   0.020±0.001  0.019±0.001 0.019±0.001 0.020±0.001
       cartpole_swingup 0.146±0.001   0.146±0.001  0.146±0.001 0.146±0.001 0.149±0.002
cartpole_swingup_sparse 0.271±0.008   0.276±0.007  0.276±0.006 0.263±0.006 0.737±0.089
            cheetah_run 0.523±0.006   0.529±0.004  0.526±0.004 0.529±0.003 0.549±0.004
            finger_spin 0.687±0.009   0.673±0.009  0.684±0.010 0.692±0.009 0.796±0.010
       finger_turn_easy 0.121±0.009   0.121±0.009  0.121±0.008 0.115±0.006 0.122±0.009
       finger_turn_hard 0.247±0.015   0.243±0.017  0.246±0.016 0.257±0.017 0.254±0.017
              fish_swim 0.241±0.006   0.244±0.006  0.243±0.005 0.241±0.006 0.299±0.010
           fish_upright 0.124±0.006   0.121±0.007  0.132±0.007 0.125±0.006 0.129±0.006
             hopper_hop 0.971±0.006   0.960±0.003  0.956±0.003 0.964±0.006 0.999±0.000
           hopper_stand 0.540±0.036   0.563±0.040  0.529±0.034 0.480±0.031 0.820±0.032
           humanoid_run 0.998±0.000   0.998±0.000  0.998±0.000 0.998±0.000 0.999±0.000
         humanoid_stand 0.990±0.000   0.990±0.000  0.990±0.000 0.990±0.000 0.991±0.000
          humanoid_walk 0.997±0.000   0.997±0.000  0.997±0.000 0.997±0.000 0.998±0.000
 manipulator_bring_ball 0.998±0.000   0.998±0.000  0.999±0.000 0.999±0.000 0.998±0.000
       pendulum_swingup 0.283±0.021   0.321±0.045  0.276±0.026 0.229±0.008 0.260±0.013
        point_mass_easy 0.132±0.004   0.130±0.006  0.127±0.005 0.124±0.004 0.209±0.058
           reacher_easy 0.047±0.003   0.049±0.003  0.050±0.003 0.049±0.002 0.056±0.003
           reacher_hard 0.236±0.027   0.234±0.024  0.222±0.024 0.238±0.028 0.440±0.068
      swimmer_swimmer15 0.224±0.008   0.224±0.006  0.223±0.006 0.225±0.007 0.234±0.006
       swimmer_swimmer6 0.170±0.003   0.169±0.003  0.167±0.003 0.169±0.003 0.176±0.003
             walker_run 0.729±0.003   0.731±0.002  0.728±0.003 0.732±0.002 0.861±0.005
           walker_stand 0.067±0.003   0.065±0.002  0.066±0.003 0.066±0.002 0.077±0.003
            walker_walk 0.352±0.011   0.364±0.014  0.360±0.013 0.359±0.011 0.365±0.007
                Average 0.252±0.002   0.253±0.002  0.252±0.002 0.249±0.002 0.287±0.004
