                    env   a4_prior0 a4_prior0.001 a4_prior0.01 a4_prior0.1 a4_prior1.0
        acrobot_swingup 0.907±0.003   0.905±0.004  0.905±0.004 0.905±0.004 0.913±0.004
 acrobot_swingup_sparse 0.997±0.000   0.997±0.000  0.997±0.000 0.998±0.000 1.000±0.000
      ball_in_cup_catch 0.075±0.002   0.074±0.002  0.076±0.002 0.076±0.002 0.074±0.002
       cartpole_balance 0.024±0.001   0.024±0.000  0.024±0.000 0.024±0.001 0.027±0.000
cartpole_balance_sparse 0.028±0.001   0.027±0.001  0.027±0.001 0.027±0.001 0.027±0.001
       cartpole_swingup 0.155±0.001   0.154±0.001  0.155±0.001 0.155±0.001 0.159±0.002
cartpole_swingup_sparse 0.300±0.010   0.305±0.008  0.304±0.007 0.288±0.006 0.762±0.082
            cheetah_run 0.559±0.006   0.565±0.004  0.561±0.004 0.561±0.004 0.586±0.004
            finger_spin 0.714±0.009   0.701±0.008  0.711±0.010 0.717±0.008 0.823±0.010
       finger_turn_easy 0.430±0.021   0.422±0.022  0.429±0.021 0.416±0.017 0.429±0.023
       finger_turn_hard 0.574±0.022   0.562±0.024  0.565±0.025 0.578±0.026 0.573±0.027
              fish_swim 0.344±0.008   0.346±0.007  0.345±0.006 0.342±0.007 0.408±0.011
           fish_upright 0.296±0.011   0.288±0.014  0.311±0.013 0.298±0.013 0.312±0.012
             hopper_hop 0.984±0.004   0.978±0.003  0.974±0.003 0.977±0.005 1.000±0.000
           hopper_stand 0.621±0.036   0.661±0.043  0.615±0.033 0.568±0.032 0.873±0.029
           humanoid_run 0.999±0.000   0.999±0.000  0.999±0.000 0.999±0.000 0.999±0.000
         humanoid_stand 0.993±0.000   0.993±0.000  0.993±0.000 0.993±0.000 0.994±0.000
          humanoid_walk 0.998±0.000   0.998±0.000  0.998±0.000 0.998±0.000 0.999±0.000
 manipulator_bring_ball 1.000±0.000   1.000±0.000  1.000±0.000 1.000±0.000 1.000±0.000
       pendulum_swingup 0.408±0.025   0.453±0.050  0.400±0.033 0.349±0.009 0.381±0.014
        point_mass_easy 0.186±0.004   0.188±0.013  0.181±0.004 0.176±0.004 0.286±0.059
           reacher_easy 0.106±0.006   0.113±0.007  0.116±0.007 0.115±0.007 0.126±0.009
           reacher_hard 0.494±0.036   0.499±0.035  0.461±0.037 0.492±0.040 0.663±0.053
      swimmer_swimmer15 0.527±0.007   0.530±0.006  0.528±0.005 0.530±0.006 0.542±0.005
       swimmer_swimmer6 0.475±0.003   0.474±0.003  0.472±0.003 0.474±0.003 0.483±0.003
             walker_run 0.752±0.003   0.753±0.002  0.751±0.003 0.755±0.002 0.876±0.004
           walker_stand 0.106±0.005   0.102±0.003  0.105±0.004 0.105±0.004 0.117±0.004
            walker_walk 0.400±0.010   0.411±0.013  0.407±0.012 0.408±0.010 0.413±0.007
                Average 0.361±0.002   0.363±0.003  0.361±0.002 0.357±0.002 0.401±0.004
