env,experiment,mean,n,ci_half_width,baseline_experiment,prob_lt_prior0,highlight,display_unicode,display_tex
acrobot_swingup,a4_prior0,0.9070178773196643,32,0.0030209681388761378,a4_prior0,,false,0.907±0.003,$0.907\pm0.003$
acrobot_swingup,a4_prior0.001,0.9045826064854925,32,0.003970802922708936,a4_prior0,0.7527,false,0.905±0.004,$0.905\pm0.004$
acrobot_swingup,a4_prior0.01,0.9052756596247383,32,0.003747104075866517,a4_prior0,0.8372,false,0.905±0.004,$0.905\pm0.004$
acrobot_swingup,a4_prior0.1,0.9047455444146091,32,0.0036935671983800602,a4_prior0,0.7975,false,0.905±0.004,$0.905\pm0.004$
acrobot_swingup,a4_prior1.0,0.9126172487930763,32,0.0037259536952809823,a4_prior0,0.155,false,0.913±0.004,$0.913\pm0.004$
acrobot_swingup_sparse,a4_prior0,0.997232362689394,32,0.0003922328753845681,a4_prior0,,false,0.997±0.000,$0.997\pm0.000$
acrobot_swingup_sparse,a4_prior0.001,0.9969969223484848,32,0.00031637924555073755,a4_prior0,0.7909,false,0.997±0.000,$0.997\pm0.000$
acrobot_swingup_sparse,a4_prior0.01,0.9965566998106061,32,0.00017865428830779158,a4_prior0,0.997,true,0.997±0.000,$\mathbf{0.997\pm0.000}$
acrobot_swingup_sparse,a4_prior0.1,0.997523161300505,32,0.00033730445679052134,a4_prior0,0.1445,false,0.998±0.000,$0.998\pm0.000$
acrobot_swingup_sparse,a4_prior1.0,0.9995118568497475,32,0.000025493934427694656,a4_prior0,0.0,false,1.000±0.000,$1.000\pm0.000$
ball_in_cup_catch,a4_prior0,0.07486399147727273,32,0.002325964671178069,a4_prior0,,false,0.075±0.002,$0.075\pm0.002$
ball_in_cup_catch,a4_prior0.001,0.07381928661616162,32,0.0018761650211043168,a4_prior0,0.6905,false,0.074±0.002,$0.074\pm0.002$
ball_in_cup_catch,a4_prior0.01,0.07648439472853535,32,0.0023427967780389005,a4_prior0,0.2003,false,0.076±0.002,$0.076\pm0.002$
ball_in_cup_catch,a4_prior0.1,0.07558072916666667,32,0.002080079863317333,a4_prior0,0.369,false,0.076±0.002,$0.076\pm0.002$
ball_in_cup_catch,a4_prior1.0,0.07400755602904041,32,0.001938208946436115,a4_prior0,0.6688,false,0.074±0.002,$0.074\pm0.002$
cartpole_balance,a4_prior0,0.024216272740051,32,0.0005357119640389727,a4_prior0,,false,0.024±0.001,$0.024\pm0.001$
cartpole_balance,a4_prior0.001,0.023705032196159315,32,0.0003277090616314031,a4_prior0,0.8786,false,0.024±0.000,$0.024\pm0.000$
cartpole_balance,a4_prior0.01,0.02390872899781574,32,0.0003832913149067658,a4_prior0,0.6851,false,0.024±0.000,$0.024\pm0.000$
cartpole_balance,a4_prior0.1,0.024258797516877,32,0.0006059904667315246,a4_prior0,0.5771,false,0.024±0.001,$0.024\pm0.001$
cartpole_balance,a4_prior1.0,0.02709500516078087,32,0.00038004264185338287,a4_prior0,0.0,false,0.027±0.000,$0.027\pm0.000$
cartpole_balance_sparse,a4_prior0,0.027892321654040406,32,0.0009516544723240858,a4_prior0,,false,0.028±0.001,$0.028\pm0.001$
cartpole_balance_sparse,a4_prior0.001,0.026951250789141415,32,0.0009714325818802473,a4_prior0,0.6885,false,0.027±0.001,$0.027\pm0.001$
cartpole_balance_sparse,a4_prior0.01,0.026787799873737375,32,0.001041066568870543,a4_prior0,0.9218,true,0.027±0.001,$\mathbf{0.027\pm0.001}$
cartpole_balance_sparse,a4_prior0.1,0.02704354087752525,32,0.0009224205123157537,a4_prior0,0.7312,false,0.027±0.001,$0.027\pm0.001$
cartpole_balance_sparse,a4_prior1.0,0.027357125946969697,32,0.0007103545036038036,a4_prior0,0.7355,false,0.027±0.001,$0.027\pm0.001$
cartpole_swingup,a4_prior0,0.15534782762398397,32,0.0012538292026471251,a4_prior0,,false,0.155±0.001,$0.155\pm0.001$
cartpole_swingup,a4_prior0.001,0.15421876132746012,32,0.0011611671983596617,a4_prior0,0.8393,false,0.154±0.001,$0.154\pm0.001$
cartpole_swingup,a4_prior0.01,0.15522927166916656,32,0.0011642198499646947,a4_prior0,0.4971,false,0.155±0.001,$0.155\pm0.001$
cartpole_swingup,a4_prior0.1,0.15503477117921594,32,0.001165977888820751,a4_prior0,0.5255,false,0.155±0.001,$0.155\pm0.001$
cartpole_swingup,a4_prior1.0,0.15868466599725864,32,0.001643200536283543,a4_prior0,0.0014,false,0.159±0.002,$0.159\pm0.002$
cartpole_swingup_sparse,a4_prior0,0.29962715041035354,32,0.010110921493703863,a4_prior0,,false,0.300±0.010,$0.300\pm0.010$
cartpole_swingup_sparse,a4_prior0.001,0.30459335542929294,32,0.008093348116876436,a4_prior0,0.1253,false,0.305±0.008,$0.305\pm0.008$
cartpole_swingup_sparse,a4_prior0.01,0.3035869633838384,32,0.0069666563736927815,a4_prior0,0.1137,false,0.304±0.007,$0.304\pm0.007$
cartpole_swingup_sparse,a4_prior0.1,0.28816447679924245,32,0.0060869281533661975,a4_prior0,0.8878,false,0.288±0.006,$0.288\pm0.006$
cartpole_swingup_sparse,a4_prior1.0,0.7615401475694444,32,0.08224416416437486,a4_prior0,0.0,false,0.762±0.082,$0.762\pm0.082$
cheetah_run,a4_prior0,0.5589240738413663,32,0.0061408460313836875,a4_prior0,,false,0.559±0.006,$0.559\pm0.006$
cheetah_run,a4_prior0.001,0.5652318925694327,32,0.004163393697682188,a4_prior0,0.2606,false,0.565±0.004,$0.565\pm0.004$
cheetah_run,a4_prior0.01,0.5612534312104825,32,0.003969971641223963,a4_prior0,0.5667,false,0.561±0.004,$0.561\pm0.004$
cheetah_run,a4_prior0.1,0.5605268656783973,32,0.003763504067327172,a4_prior0,0.4425,false,0.561±0.004,$0.561\pm0.004$
cheetah_run,a4_prior1.0,0.5855394963872516,32,0.00384287208779536,a4_prior0,0.0,false,0.586±0.004,$0.586\pm0.004$
finger_spin,a4_prior0,0.7138766374684343,32,0.008556408598889323,a4_prior0,,false,0.714±0.009,$0.714\pm0.009$
finger_spin,a4_prior0.001,0.7011761560921718,32,0.008250434381948954,a4_prior0,0.9722,true,0.701±0.008,$\mathbf{0.701\pm0.008}$
finger_spin,a4_prior0.01,0.7107142518939393,32,0.00963371528402594,a4_prior0,0.6061,false,0.711±0.010,$0.711\pm0.010$
finger_spin,a4_prior0.1,0.7174592605744949,32,0.008013789723104861,a4_prior0,0.2058,false,0.717±0.008,$0.717\pm0.008$
finger_spin,a4_prior1.0,0.8231668442234849,32,0.010119035838153085,a4_prior0,0.0,false,0.823±0.010,$0.823\pm0.010$
finger_turn_easy,a4_prior0,0.4296268347537879,32,0.020785393370362042,a4_prior0,,false,0.430±0.021,$0.430\pm0.021$
finger_turn_easy,a4_prior0.001,0.4224573271780303,32,0.02236203191465355,a4_prior0,0.6391,false,0.422±0.022,$0.422\pm0.022$
finger_turn_easy,a4_prior0.01,0.42949471275252527,32,0.020650823920619166,a4_prior0,0.5186,false,0.429±0.021,$0.429\pm0.021$
finger_turn_easy,a4_prior0.1,0.4163930318813131,32,0.017187601204228867,a4_prior0,0.7526,false,0.416±0.017,$0.416\pm0.017$
finger_turn_easy,a4_prior1.0,0.4288497277462121,32,0.023113058001128183,a4_prior0,0.592,false,0.429±0.023,$0.429\pm0.023$
finger_turn_hard,a4_prior0,0.5740204584911617,32,0.021948186756342015,a4_prior0,,false,0.574±0.022,$0.574\pm0.022$
finger_turn_hard,a4_prior0.001,0.5623742897727273,32,0.024075033716954217,a4_prior0,0.7343,false,0.562±0.024,$0.562\pm0.024$
finger_turn_hard,a4_prior0.01,0.5653176491477273,32,0.02507072689344378,a4_prior0,0.4691,false,0.565±0.025,$0.565\pm0.025$
finger_turn_hard,a4_prior0.1,0.5779928385416667,32,0.02583448341251822,a4_prior0,0.3763,false,0.578±0.026,$0.578\pm0.026$
finger_turn_hard,a4_prior1.0,0.5730860558712121,32,0.027358470986368018,a4_prior0,0.6212,false,0.573±0.027,$0.573\pm0.027$
fish_swim,a4_prior0,0.34412178337260274,32,0.007680336861591117,a4_prior0,,false,0.344±0.008,$0.344\pm0.008$
fish_swim,a4_prior0.001,0.3463099979149446,32,0.0071038686588239764,a4_prior0,0.3476,false,0.346±0.007,$0.346\pm0.007$
fish_swim,a4_prior0.01,0.34508231100333486,32,0.005545824686103266,a4_prior0,0.3034,false,0.345±0.006,$0.345\pm0.006$
fish_swim,a4_prior0.1,0.3416250704786025,32,0.0069577460451536914,a4_prior0,0.5365,false,0.342±0.007,$0.342\pm0.007$
fish_swim,a4_prior1.0,0.407726645845045,32,0.01077935496884073,a4_prior0,0.0,false,0.408±0.011,$0.408\pm0.011$
fish_upright,a4_prior0,0.2958299026297467,32,0.0107896545638265,a4_prior0,,false,0.296±0.011,$0.296\pm0.011$
fish_upright,a4_prior0.001,0.2883016912727995,32,0.013774350091161444,a4_prior0,0.8351,false,0.288±0.014,$0.288\pm0.014$
fish_upright,a4_prior0.01,0.310633373093566,32,0.013109633816723327,a4_prior0,0.2529,false,0.311±0.013,$0.311\pm0.013$
fish_upright,a4_prior0.1,0.298113551373767,32,0.012834786937334027,a4_prior0,0.7245,false,0.298±0.013,$0.298\pm0.013$
fish_upright,a4_prior1.0,0.3115814449200232,32,0.01203832589091467,a4_prior0,0.188,false,0.312±0.012,$0.312\pm0.012$
hopper_hop,a4_prior0,0.9841450170609779,32,0.0041096112303525304,a4_prior0,,false,0.984±0.004,$0.984\pm0.004$
hopper_hop,a4_prior0.001,0.9777754075565644,32,0.0028082871779092767,a4_prior0,0.9557,true,0.978±0.003,$\mathbf{0.978\pm0.003}$
hopper_hop,a4_prior0.01,0.9742360046788556,32,0.003220699802386676,a4_prior0,0.99,true,0.974±0.003,$\mathbf{0.974\pm0.003}$
