env,experiment,mean,n,ci_half_width,baseline_experiment,prob_lt_prior0,highlight,display_unicode,display_tex
acrobot_swingup,a1_single_layer_prior0,0.954929763123374,16,0.0023710713300179394,a1_single_layer_prior0,,false,0.955±0.002,$0.955\pm0.002$
acrobot_swingup,a1_single_layer_prior0.001,0.9516236997789029,16,0.0025674930170197768,a1_single_layer_prior0,0.8465,false,0.952±0.003,$0.952\pm0.003$
acrobot_swingup,a1_single_layer_prior0.01,0.9565604219952197,16,0.0015684838065641135,a1_single_layer_prior0,0.0758,false,0.957±0.002,$0.957\pm0.002$
acrobot_swingup,a1_single_layer_prior0.1,0.9551904908505161,16,0.002430743228698375,a1_single_layer_prior0,0.4912,false,0.955±0.002,$0.955\pm0.002$
acrobot_swingup_sparse,a1_single_layer_prior0,0.9971252367424243,16,0.0006677345449259189,a1_single_layer_prior0,,false,0.997±0.001,$0.997\pm0.001$
acrobot_swingup_sparse,a1_single_layer_prior0.001,0.9968532196969697,16,0.0006935359583892562,a1_single_layer_prior0,0.7042,false,0.997±0.001,$0.997\pm0.001$
acrobot_swingup_sparse,a1_single_layer_prior0.01,0.9972389520202021,16,0.0004884350259001265,a1_single_layer_prior0,0.3511,false,0.997±0.000,$0.997\pm0.000$
acrobot_swingup_sparse,a1_single_layer_prior0.1,0.9973998579545454,16,0.0005024214209534494,a1_single_layer_prior0,0.3491,false,0.997±0.001,$0.997\pm0.001$
ball_in_cup_catch,a1_single_layer_prior0,0.26572139362373737,16,0.023533524571829143,a1_single_layer_prior0,,false,0.266±0.024,$0.266\pm0.024$
ball_in_cup_catch,a1_single_layer_prior0.001,0.26475347222222223,16,0.012555027931114014,a1_single_layer_prior0,0.2122,false,0.265±0.013,$0.265\pm0.013$
ball_in_cup_catch,a1_single_layer_prior0.01,0.2747498027146465,16,0.01758741069649133,a1_single_layer_prior0,0.1387,false,0.275±0.018,$0.275\pm0.018$
ball_in_cup_catch,a1_single_layer_prior0.1,0.2693932291666667,16,0.016724968586849583,a1_single_layer_prior0,0.1505,false,0.269±0.017,$0.269\pm0.017$
cartpole_balance,a1_single_layer_prior0,0.030293808436754978,16,0.0007848696494629544,a1_single_layer_prior0,,false,0.030±0.001,$0.030\pm0.001$
cartpole_balance,a1_single_layer_prior0.001,0.030722682251472667,16,0.0011181664757350075,a1_single_layer_prior0,0.2693,false,0.031±0.001,$0.031\pm0.001$
