                    env   a1_prior0 a1_prior0.001 a1_prior0.01 a1_prior0.1
                Rotator           -             -            -           -
        acrobot_swingup 0.992±0.002   0.994±0.001  0.995±0.001 0.994±0.001
 acrobot_swingup_sparse 1.000±0.000   1.000±0.000  1.000±0.000 1.000±0.000
      ball_in_cup_catch 0.081±0.004   0.084±0.004  0.082±0.004 0.082±0.008
       cartpole_balance 0.024±0.000   0.025±0.001  0.024±0.001 0.025±0.000
cartpole_balance_sparse 0.024±0.001   0.026±0.002  0.027±0.003 0.025±0.002
       cartpole_swingup 0.157±0.002   0.157±0.003  0.157±0.002 0.157±0.002
cartpole_swingup_sparse 0.308±0.017   0.302±0.013  0.304±0.012 0.290±0.007
            cheetah_run 0.538±0.005   0.548±0.006  0.544±0.008 0.554±0.007
            finger_spin 0.709±0.014   0.700±0.020  0.704±0.013 0.718±0.015
       finger_turn_easy 0.404±0.025   0.435±0.032  0.419±0.031 0.415±0.022
       finger_turn_hard 0.612±0.036   0.636±0.025  0.593±0.027 0.620±0.027
              fish_swim 0.321±0.007   0.316±0.008  0.330±0.017 0.326±0.018
           fish_upright 0.253±0.016   0.263±0.020  0.274±0.024 0.257±0.017
             hopper_hop 0.984±0.005   0.978±0.005  0.982±0.006 0.951±0.007
           hopper_stand 0.715±0.050   0.648±0.057  0.628±0.029 0.676±0.062
           humanoid_run 0.999±0.000   0.999±0.000  0.999±0.000 0.999±0.000
         humanoid_stand 0.993±0.000   0.993±0.000  0.993±0.000 0.993±0.000
          humanoid_walk 0.996±0.003   0.998±0.000  0.998±0.000 0.998±0.000
 manipulator_bring_ball 1.000±0.000   1.000±0.000  1.000±0.000 1.000±0.000
       pendulum_swingup 0.479±0.060   0.522±0.092  0.444±0.050 0.483±0.063
        point_mass_easy 0.201±0.009   0.199±0.008  0.206±0.008 0.198±0.010
           reacher_easy 0.099±0.011   0.109±0.017  0.102±0.010 0.101±0.011
           reacher_hard 0.482±0.059   0.439±0.051  0.424±0.071 0.519±0.049
      swimmer_swimmer15 0.503±0.005   0.501±0.009  0.498±0.006 0.505±0.006
       swimmer_swimmer6 0.463±0.005   0.467±0.005  0.466±0.006 0.466±0.008
             walker_run 0.738±0.004   0.741±0.006  0.733±0.005 0.745±0.006
           walker_stand 0.093±0.008   0.105±0.007  0.105±0.010 0.099±0.007
            walker_walk 0.387±0.017   0.379±0.020  0.364±0.021 0.397±0.025
                Average 0.359±0.004   0.363±0.004  0.359±0.004 0.362±0.004
