env,experiment,mean,n,ci_half_width,baseline_experiment,prob_lt_prior0,highlight,display_unicode,display_tex
acrobot_swingup,a1_prior0,0.992246086557647,17,0.0018081891675288024,a1_prior0,,false,0.992±0.002,$0.992\pm0.002$
acrobot_swingup,a1_prior0.001,0.994015903470913,16,0.001121352055337187,a1_prior0,0.2201,false,0.994±0.001,$0.994\pm0.001$
acrobot_swingup,a1_prior0.01,0.9945340775721015,16,0.001053509041305903,a1_prior0,0.1083,false,0.995±0.001,$0.995\pm0.001$
acrobot_swingup,a1_prior0.1,0.9937700166368235,16,0.0010098518183413428,a1_prior0,0.2447,false,0.994±0.001,$0.994\pm0.001$
acrobot_swingup_sparse,a1_prior0,0.9998583502366465,17,0.00005682869937196115,a1_prior0,,false,1.000±0.000,$1.000\pm0.000$
acrobot_swingup_sparse,a1_prior0.001,0.999840158045977,16,0.00005892916396554955,a1_prior0,0.6651,false,1.000±0.000,$1.000\pm0.000$
acrobot_swingup_sparse,a1_prior0.01,0.9998699712643678,16,0.000052056019225769046,a1_prior0,0.4314,false,1.000±0.000,$1.000\pm0.000$
acrobot_swingup_sparse,a1_prior0.1,0.9998024425287356,16,0.00009959498260713483,a1_prior0,0.5871,false,1.000±0.000,$1.000\pm0.000$
ball_in_cup_catch,a1_prior0,0.08104711174242424,16,0.004461981659300451,a1_prior0,,false,0.081±0.004,$0.081\pm0.004$
ball_in_cup_catch,a1_prior0.001,0.08388154987373737,16,0.0035342900594243372,a1_prior0,0.0755,false,0.084±0.004,$0.084\pm0.004$
ball_in_cup_catch,a1_prior0.01,0.08196523832070707,16,0.003550003338358796,a1_prior0,0.1451,false,0.082±0.004,$0.082\pm0.004$
ball_in_cup_catch,a1_prior0.1,0.08238139204545454,16,0.00815748702897366,a1_prior0,0.5768,false,0.082±0.008,$0.082\pm0.008$
cartpole_balance,a1_prior0,0.023820476819770505,16,0.0004859341202715361,a1_prior0,,false,0.024±0.000,$0.024\pm0.000$
cartpole_balance,a1_prior0.001,0.024931032368631072,16,0.0007593440934605738,a1_prior0,0.0552,false,0.025±0.001,$0.025\pm0.001$
cartpole_balance,a1_prior0.01,0.024345059794910025,16,0.0006248740719154827,a1_prior0,0.2665,false,0.024±0.001,$0.024\pm0.001$
cartpole_balance,a1_prior0.1,0.02459399606121911,16,0.00047691224180970346,a1_prior0,0.0594,false,0.025±0.000,$0.025\pm0.000$
cartpole_balance_sparse,a1_prior0,0.024471433080808083,16,0.0014211168389488675,a1_prior0,,false,0.024±0.001,$0.024\pm0.001$
cartpole_balance_sparse,a1_prior0.001,0.025522253787878788,16,0.0018965611988591416,a1_prior0,0.3254,false,0.026±0.002,$0.026\pm0.002$
cartpole_balance_sparse,a1_prior0.01,0.027381826073232324,16,0.002781057595283129,a1_prior0,0.1236,false,0.027±0.003,$0.027\pm0.003$
cartpole_balance_sparse,a1_prior0.1,0.025126775568181818,16,0.0018092606179736126,a1_prior0,0.225,false,0.025±0.002,$0.025\pm0.002$
cartpole_swingup,a1_prior0,0.1566454549844593,16,0.0017267780240762054,a1_prior0,,false,0.157±0.002,$0.157\pm0.002$
cartpole_swingup,a1_prior0.001,0.15731697365743194,16,0.0028307393563132594,a1_prior0,0.3902,false,0.157±0.003,$0.157\pm0.003$
cartpole_swingup,a1_prior0.01,0.15709844347702884,16,0.0022488576320484513,a1_prior0,0.5085,false,0.157±0.002,$0.157\pm0.002$
cartpole_swingup,a1_prior0.1,0.1568433678764662,16,0.0017205986142869447,a1_prior0,0.5059,false,0.157±0.002,$0.157\pm0.002$
cartpole_swingup_sparse,a1_prior0,0.30836627998737376,16,0.016881380100284154,a1_prior0,,false,0.308±0.017,$0.308\pm0.017$
cartpole_swingup_sparse,a1_prior0.001,0.30170596590909093,16,0.013189357054277472,a1_prior0,0.4589,false,0.302±0.013,$0.302\pm0.013$
cartpole_swingup_sparse,a1_prior0.01,0.3037432528409091,16,0.012028325330135734,a1_prior0,0.4122,false,0.304±0.012,$0.304\pm0.012$
cartpole_swingup_sparse,a1_prior0.1,0.28969274779040405,16,0.0074701348329051145,a1_prior0,0.7146,false,0.290±0.007,$0.290\pm0.007$
cheetah_run,a1_prior0,0.538310558875496,16,0.004735216525517428,a1_prior0,,false,0.538±0.005,$0.538\pm0.005$
cheetah_run,a1_prior0.001,0.5482631631878327,16,0.006093465838578588,a1_prior0,0.0225,false,0.548±0.006,$0.548\pm0.006$
cheetah_run,a1_prior0.01,0.5435041725099312,16,0.008352293144910906,a1_prior0,0.1775,false,0.544±0.008,$0.544\pm0.008$
cheetah_run,a1_prior0.1,0.5542029172333353,16,0.006887871679230104,a1_prior0,0.0006,false,0.554±0.007,$0.554\pm0.007$
finger_spin,a1_prior0,0.7094970012626263,16,0.014128379987693732,a1_prior0,,false,0.709±0.014,$0.709\pm0.014$
finger_spin,a1_prior0.001,0.6997355587121212,16,0.019901486099283192,a1_prior0,0.7531,false,0.700±0.020,$0.700\pm0.020$
finger_spin,a1_prior0.01,0.7036962989267677,16,0.013441418946636632,a1_prior0,0.7841,false,0.704±0.013,$0.704\pm0.013$
finger_spin,a1_prior0.1,0.7175943023989899,16,0.014660796852007685,a1_prior0,0.3191,false,0.718±0.015,$0.718\pm0.015$
finger_turn_easy,a1_prior0,0.40358727904040403,16,0.024938136117059397,a1_prior0,,false,0.404±0.025,$0.404\pm0.025$
finger_turn_easy,a1_prior0.001,0.43535562657828286,16,0.03187469169715271,a1_prior0,0.1902,false,0.435±0.032,$0.435\pm0.032$
finger_turn_easy,a1_prior0.01,0.41934284248737375,16,0.0313493996074179,a1_prior0,0.3018,false,0.419±0.031,$0.419\pm0.031$
finger_turn_easy,a1_prior0.1,0.41476412563131315,16,0.021757091738612178,a1_prior0,0.1731,false,0.415±0.022,$0.415\pm0.022$
finger_turn_hard,a1_prior0,0.6115683001893939,16,0.03577976418279027,a1_prior0,,false,0.612±0.036,$0.612\pm0.036$
finger_turn_hard,a1_prior0.001,0.636162444760101,16,0.024968243274509378,a1_prior0,0.219,false,0.636±0.025,$0.636\pm0.025$
finger_turn_hard,a1_prior0.01,0.592725891729798,16,0.026787532189670584,a1_prior0,0.8166,false,0.593±0.027,$0.593\pm0.027$
finger_turn_hard,a1_prior0.1,0.6197089646464646,16,0.02724163742469633,a1_prior0,0.5915,false,0.620±0.027,$0.620\pm0.027$
fish_swim,a1_prior0,0.3205138005876744,16,0.00730860381895726,a1_prior0,,false,0.321±0.007,$0.321\pm0.007$
fish_swim,a1_prior0.001,0.3161048256764941,16,0.007956598528560592,a1_prior0,0.8266,false,0.316±0.008,$0.316\pm0.008$
fish_swim,a1_prior0.01,0.330496225015138,16,0.01689384767836387,a1_prior0,0.4993,false,0.330±0.017,$0.330\pm0.017$
fish_swim,a1_prior0.1,0.3261256902195664,16,0.01806615974430691,a1_prior0,0.6732,false,0.326±0.018,$0.326\pm0.018$
fish_upright,a1_prior0,0.2532565234880571,16,0.016259635250810683,a1_prior0,,false,0.253±0.016,$0.253\pm0.016$
fish_upright,a1_prior0.001,0.2627233400159178,16,0.01964172788693127,a1_prior0,0.3525,false,0.263±0.020,$0.263\pm0.020$
fish_upright,a1_prior0.01,0.2736833273319544,16,0.02420401336234982,a1_prior0,0.2003,false,0.274±0.024,$0.274\pm0.024$
fish_upright,a1_prior0.1,0.25689725696455074,16,0.01707723733198282,a1_prior0,0.3443,false,0.257±0.017,$0.257\pm0.017$
hopper_hop,a1_prior0,0.9839947748665181,16,0.005477832433131929,a1_prior0,,false,0.984±0.005,$0.984\pm0.005$
hopper_hop,a1_prior0.001,0.9781174183580645,16,0.004884302938098166,a1_prior0,0.8763,false,0.978±0.005,$0.978\pm0.005$
hopper_hop,a1_prior0.01,0.9822054386921977,16,0.005858711664356011,a1_prior0,0.6237,false,0.982±0.006,$0.982\pm0.006$
hopper_hop,a1_prior0.1,0.9514772012198636,16,0.006507456064492067,a1_prior0,1.0,true,0.951±0.007,$\mathbf{0.951\pm0.007}$
hopper_stand,a1_prior0,0.7152292357963026,16,0.04957053854492039,a1_prior0,,false,0.715±0.050,$0.715\pm0.050$
hopper_stand,a1_prior0.001,0.6477165238944687,16,0.05681652136256254,a1_prior0,0.9236,true,0.648±0.057,$\mathbf{0.648\pm0.057}$
hopper_stand,a1_prior0.01,0.6280139867130577,16,0.029335369303154106,a1_prior0,0.9742,true,0.628±0.029,$\mathbf{0.628\pm0.029}$
hopper_stand,a1_prior0.1,0.6757898355113422,16,0.061708370926271294,a1_prior0,0.6987,false,0.676±0.062,$0.676\pm0.062$
humanoid_run,a1_prior0,0.9988008972292023,16,0.000011346531766778458,a1_prior0,,false,0.999±0.000,$0.999\pm0.000$
humanoid_run,a1_prior0.001,0.9987979710392907,16,0.000011061217872154735,a1_prior0,0.6759,false,0.999±0.000,$0.999\pm0.000$
humanoid_run,a1_prior0.01,0.9988067936649971,16,0.000013102821115752877,a1_prior0,0.1843,false,0.999±0.000,$0.999\pm0.000$
humanoid_run,a1_prior0.1,0.9988167669945522,16,8.129973390761511e-6,a1_prior0,0.0389,false,0.999±0.000,$0.999\pm0.000$
humanoid_stand,a1_prior0,0.9928270903083203,16,0.00008794392978847311,a1_prior0,,false,0.993±0.000,$0.993\pm0.000$
humanoid_stand,a1_prior0.001,0.9928594210124168,16,0.00006682909420705647,a1_prior0,0.1748,false,0.993±0.000,$0.993\pm0.000$
humanoid_stand,a1_prior0.01,0.9928902564917155,16,0.00006062767252433347,a1_prior0,0.0268,false,0.993±0.000,$0.993\pm0.000$
humanoid_stand,a1_prior0.1,0.9928809470227269,16,0.00007588127066383337,a1_prior0,0.1262,false,0.993±0.000,$0.993\pm0.000$
humanoid_walk,a1_prior0,0.9962416384441743,16,0.0031392464478148903,a1_prior0,,false,0.996±0.003,$0.996\pm0.003$
humanoid_walk,a1_prior0.001,0.9980766382858616,16,0.00005509091095628975,a1_prior0,0.7944,false,0.998±0.000,$0.998\pm0.000$
humanoid_walk,a1_prior0.01,0.997821746051388,16,0.0004933753669991353,a1_prior0,0.715,false,0.998±0.000,$0.998\pm0.000$
humanoid_walk,a1_prior0.1,0.9981231606383186,16,0.00004289161017589317,a1_prior0,0.569,false,0.998±0.000,$0.998\pm0.000$
manipulator_bring_ball,a1_prior0,0.999597377305698,16,0.00002093395055058292,a1_prior0,,false,1.000±0.000,$1.000\pm0.000$
